Area;Regione;Provincia;2025_CodCom;NTN_2025_Depositi_Pert;NTN_2025_Box
Isole;Sicilia;PA;B315;12,66;14,5
Sud;Molise;IS;B317;2,78;1
Sud;Calabria;KR;B319;3,61;2,5
Nord Ovest;Lombardia;VA;B326;17,6;26,18
Nord Est;Emilia-Romagna;RE;B328;22;115,04
Nord Est;Emilia-Romagna;PC;B332;20,5;73,03
Nord Est;Veneto;PD;B345;5,54;184,25
Nord Ovest;Lombardia;CO;B346;12;95,77
Nord Est;Veneto;TV;B349;4;60,25
Nord Ovest;Piemonte;TO;B350;8,5;38,25
Sud;Campania;SA;B351;18,5;8
Centro;Marche;PS;B352;21,38;34,49
Isole;Sardegna;CA;B354;309,07;1024,98
Nord Ovest;Lombardia;CO;B355;2;7
Sud;Puglia;FG;B357;17,88;15,48
Sud;Abruzzo;AQ;B358;0;1
Sud;Campania;CE;B361;1,5;1
Sud;Campania;CE;B362;3;8,12
Nord Ovest;Lombardia;BS;B365;7;13,5
Nord Ovest;Lombardia;SO;B366;8,5;3,5
Sud;Campania;AV;B367;2;1,75
Nord Ovest;Lombardia;VA;B368;14,34;104,27
Nord Ovest;Liguria;SV;B369;83,67;114,33
Sud;Campania;NA;B371;40,1;66,21
Sud;Campania;AV;B374;8,5;7,42
Nord Est;Veneto;BL;B375;6,28;9,89
Nord Ovest;Piemonte;AT;B376;0;9,67
Isole;Sicilia;AG;B377;3;1
Isole;Sardegna;SS;B378;8;6,66
Sud;Calabria;RC;B379;0;1
