Area;Regione;prov;COD_COM;NTN_2017_Uffici;NTN_2017_Negozi_Lab;NTN_2017_Depositi_Comm_Autorimesse;NTN_2017_TCO_B04;NTN_2017_TCO_D02;NTN_2017_TCO_D05;NTN_2017_TCO_D08;NTN_2017_PRO;NTN_2017_AGR
"Nord Ovest";"Piemonte";"VC";"A198";0,000000;0,000000;2,000000;0,000000;0,000000;0,170000;0,000000;0,000000;1,000000
"Nord Ovest";"Piemonte";"TO";"A199";0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Sud";"Campania";"CE";"A200";0,000000;5,000000;5,670000;0,000000;0,000000;0,000000;0,000000;0,000000;1,000000
"Isole";"Sicilia";"ME";"A201";0,000000;0,250000;2,650000;0,000000;0,000000;0,000000;0,000000;0,000000;1,000000
"Isole";"Sicilia";"PA";"A202";0,000000;1,000000;6,110000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Isole";"Sicilia";"PA";"A203";0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Isole";"Sardegna";"OR";"A204";0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Nord Ovest";"Valle d'Aosta";"AO";"A205";0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;1,000000
"Nord Est";"Veneto";"BL";"A206";0,000000;1,000000;2,500000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Centro";"Umbria";"TR";"A207";0,000000;0,000000;5,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Sud";"Puglia";"LE";"A208";0,000000;2,000000;3,650000;0,000000;0,000000;0,000000;0,000000;1,000000;0,000000
"Centro";"Lazio";"RM";"A210";0,000000;0,330000;3,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Nord Ovest";"Piemonte";"AL";"A211";1,000000;0,000000;1,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Nord Ovest";"Lombardia";"BG";"A214";2,000000;2,000000;8,970000;0,000000;0,000000;0,000000;0,000000;2,040000;0,000000
"Nord Ovest";"Lombardia";"BG";"A215";0,000000;5,000000;7,000000;0,000000;0,000000;0,000000;0,000000;0,410000;0,000000
"Nord Ovest";"Lombardia";"BG";"A216";2,000000;1,080000;7,000000;0,000000;0,000000;0,000000;0,000000;4,000000;0,000000
"Nord Ovest";"Lombardia";"BG";"A217";1,000000;2,000000;10,170000;0,000000;0,000000;0,000000;0,000000;2,000000;0,000000
"Nord Ovest";"Piemonte";"TO";"A218";0,000000;0,500000;13,490000;0,000000;0,000000;0,000000;0,000000;1,000000;0,000000
"Nord Est";"Veneto";"VI";"A220";0,000000;0,000000;2,000000;0,000000;0,000000;0,000000;2,000000;0,000000;0,000000
"Nord Ovest";"Piemonte";"TO";"A221";0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Nord Ovest";"Piemonte";"TO";"A222";1,000000;8,000000;22,390000;0,000000;0,000000;0,000000;1,000000;15,000000;0,000000
"Nord Est";"Emilia-Romagna";"PC";"A223";1,000000;3,080000;7,500000;0,000000;0,000000;0,000000;0,000000;3,000000;1,000000
"Nord Ovest";"Lombardia";"CO";"A224";0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Sud";"Puglia";"BA";"A225";12,000000;31,000000;89,580000;0,000000;0,000000;0,000000;3,000000;14,330000;2,500000
"Nord Ovest";"Liguria";"SV";"A226";0,000000;0,000000;1,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Nord Ovest";"Piemonte";"AL";"A227";0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
