Area;Regione;prov;2017_CodCom;NTN_2017_Box;NTN_2017_Depositi_Pert
"Nord Est";"Veneto";"PD";"I418";95,750000;3,500000
"Isole";"Sicilia";"ME";"I420";3,000000;4,000000
"Nord Est";"Veneto";"BL";"I421";25,890000;2,830000
"Sud";"Campania";"SA";"I422";7,000000;4,330000
"Sud";"Calabria";"CS";"I423";1,000000;3,000000
"Centro";"Lazio";"RM";"I424";0,000000;2,000000
"Nord Est";"Veneto";"VI";"I425";25,500000;1,000000
"Sud";"Basilicata";"PZ";"I426";2,000000;2,000000
"Isole";"Sardegna";"CA";"I428";1,000000;3,000000
"Nord Ovest";"Piemonte";"AL";"I429";2,000000;2,000000
"Nord Est";"Veneto";"VI";"I430";47,980000;2,990000
"Nord Ovest";"Piemonte";"AL";"I432";5,500000;2,000000
"Nord Ovest";"Lombardia";"BS";"I433";73,350000;5,100000
"Nord Est";"Emilia-Romagna";"PC";"I434";17,780000;0,000000
"Nord Est";"Veneto";"TV";"I435";15,750000;3,000000
"Centro";"Marche";"MC";"I436";14,000000;3,010000
"Nord Ovest";"Lombardia";"BG";"I437";100,130000;5,000000
"Sud";"Campania";"SA";"I438";37,250000;28,750000
"Nord Ovest";"Lombardia";"VA";"I441";395,050000;46,390000
"Nord Ovest";"Valle d'Aosta";"AO";"I442";26,100000;10,500000
"Isole";"Sardegna";"CA";"I443";1,000000;1,000000
"Nord Est";"Emilia-Romagna";"FO";"I444";6,170000;7,340000
"Centro";"Toscana";"SI";"I445";22,450000;3,450000
"Nord Ovest";"Lombardia";"PV";"I447";6,000000;0,500000
"Isole";"Sardegna";"NU";"I448";1,000000;0,000000
