Area;Regione;Provincia;2022_CodCom;NTN 2022 fino a 50 mq;NTN  2022 50 -| 85 mq;NTN 2022 85 -| 115 mq;NTN  2022 115 -| 145 mq;NTN  2022 oltre 145 mq;NTN_2022
Nord Est;Emilia-Romagna;MO;A713;2;31,33;19,5;7;6;65,83
Nord Est;Veneto;PD;A714;1,18;21,89;28,47;13,5;7,67;72,71
Nord Ovest;Piemonte;CN;A716;1;2;0;3;1;7
Sud;Campania;SA;A717;23;93,94;112,26;103,24;50,41;382,85
Nord Ovest;Lombardia;PV;A718;1;3;1;7;2;14
Isole;Sicilia;PA;A719;0;6,5;4;0,5;1;12
Centro;Lazio;FR;A720;0;3,83;5,67;2;6;17,5
Isole;Sardegna;OR;A721;0;0,67;1;2,33;5,5;9,5
Isole;Sardegna;NU;A722;3;6;3;2;4;18
Nord Ovest;Piemonte;VB;A725;14;49;36,83;9;17;125,83
Nord Ovest;Lombardia;VA;A728;0;2;0;2;3,02;7,02
Nord Ovest;Lombardia;BS;A729;2;42;39,66;24,07;32,86;140,59
Nord Est;Emilia-Romagna;PR;A731;3;12,49;9;13,33;25;62,82
Nord Ovest;Lombardia;BG;A732;0;1,17;3;2;0,17;6,34
Nord Ovest;Piemonte;VB;A733;3;11;7;2;8,76;31,76
Nord Ovest;Piemonte;TO;A734;10;105,92;71,66;37,17;21,5;246,25
Nord Ovest;Piemonte;CN;A735;1;13;11;12,51;11;48,51
Sud;Calabria;CZ;A736;0;3;0;2;2,25;7,25
Nord Est;Veneto;VR;A737;2;15;11,04;10,5;22,61;61,15
Nord Ovest;Piemonte;AL;A738;0;1;3;0;2;6
Centro;Marche;MC;A739;0,56;2;3;1;4,67;11,23
Centro;Marche;PS;A740;1;1;1;2;3;8
Nord Ovest;Lombardia;PV;A741;5;31;29,5;15;18;98,5
Nord Ovest;Piemonte;VB;A742;4;11;1,5;2;6;24,5
Sud;Basilicata;PZ;A743;1;7;7,5;2,5;2,67;20,67
Nord Ovest;Lombardia;LC;A745;14,17;43,71;22,34;13,84;17,25;111,31
Sud;Abruzzo;TE;A746;4;7;18;9;19,83;57,83
Nord Est;Emilia-Romagna;RN;A747;48,04;148,69;62,7;38,4;27,5;325,33
Centro;Lazio;RM;A749;3;13;2;3,75;2;23,75
Nord Ovest;Piemonte;CN;A750;0,56;3;0;1;0,6;5,16
Nord Ovest;Lombardia;MI;A751;5;21;21,8;1;7;55,8
Nord Ovest;Piemonte;NO;A752;3;17,27;34,5;17;19,58;91,35
Sud;Campania;CE;A755;3;8;11;11;17;50
Sud;Campania;SA;A756;0;0;0;0;3,5;3,5
Nord Est;Veneto;BL;A757;37,53;128,68;127,68;115,09;117,33;526,31
Nord Ovest;Lombardia;MI;A759;8,5;36,4;39,67;18,5;21,5;124,57
Centro;Marche;AP;A760;1;0;0;1;2;4
Sud;Molise;IS;A761;3;0;0;1;0;4
Sud;Calabria;CS;A762;3,75;9,5;10;0;6,8;30,05
Centro;Lazio;FR;A763;1;1;0;0;2;4
Isole;Sicilia;PA;A764;8;14;10,5;11;9,13;52,63
Centro;Lazio;RI;A765;0;0;0;0;3;3
Isole;Sicilia;CT;A766;16,33;48,7;74,42;64,12;66,25;269,82
Sud;Calabria;CS;A768;0;1;1;0;2,33;4,33
Centro;Marche;AN;A769;0;4;4;5;11;24
Nord Ovest;Piemonte;AT;A770;2;2;1;0;4,17;9,17
Nord Est;Emilia-Romagna;BO;A771;29,5;37,33;17,67;5,92;11,5;101,92
Sud;Calabria;KR;A772;0;2;0;0;0;2
