AREA;Regione;prov;2018_CodCom;NTN_2018_Box;NTN_2018_Depositi_Pert
Isole;Sicilia;ME;D885;0;2
Sud;Campania;CE;D886;1;2,44
Isole;Sardegna;NU;D888;0;0
Nord Est;Veneto;PD;D889;22,67;0,1
Nord Ovest;Piemonte;AL;D890;3;0
Nord Ovest;Lombardia;BS;D891;20,44;2
Nord Ovest;Lombardia;PV;D892;0;0
Nord Ovest;Piemonte;CN;D894;1;3
Centro;Toscana;FI;D895;16,24;4,05
Sud;Molise;CB;D896;1,08;1,17
Nord Est;Veneto;VI;D897;16,5;1
Sud;Abruzzo ;CH;D898;1;0
Nord Est;Emilia-Romagna;FO;D899;97,83;8
Nord Ovest;Lombardia;PV;D901;76,25;5
Nord Est;Veneto;VI;D902;5;1
Nord Ovest;Lombardia;BG;D903;26,43;1,31
Nord Ovest;Lombardia;BG;D905;30,08;3
Nord Ovest;Lombardia;BG;D906;8,5;2,62
Isole;Sicilia;PA;D907;8;8,4
Sud;Basilicata;MT;D909;1;0
Nord Ovest;Piemonte;AL;D910;2;1
Nord Ovest;Piemonte;NO;D911;14,5;1
Nord Ovest;Lombardia;MI;D912;233,46;40,66
Nord Ovest;Lombardia;LC;D913;20,97;4,45
Nord Est;Veneto;VR;D915;54,66;7,66
Nord Ovest;Lombardia;BS;D917;71,1;12
Nord Ovest;Lombardia;BS;D918;54,82;5,58
Nord Ovest;Piemonte;CN;D920;12;8
Nord Ovest;Piemonte;NO;D921;11;0
Nord Ovest;Lombardia;BS;D924;14;6
Nord Ovest;Lombardia;PV;D925;68,17;7
Nord Ovest;Lombardia;LC;D926;22;1
Nord Ovest;Liguria;SV;D927;10,5;1
Nord Ovest;Lombardia;CO;D930;0;2,33
Nord Ovest;Piemonte;TO;D931;0,02;0
Sud;Calabria;CZ;D932;2;0
Nord Ovest;Piemonte;TO;D933;91,21;7,75
Nord Est;Emilia-Romagna;RE;D934;34;1
Nord Est;Emilia-Romagna;FO;D935;105,25;4,17
Nord Ovest;Piemonte;NO;D937;19,67;5
Nord Ovest;Piemonte;VC;D938;53,34;9,34
Nord Ovest;Lombardia;BS;D940;83,22;5,7
Nord Est;Veneto;RO;D942;3,08;1
Nord Ovest;Lombardia;BG;D943;2;1
Nord Ovest;Piemonte;AL;D944;24,42;8
Centro;Lazio;RM;D945;1;2,33
Nord Ovest;Lombardia;VA;D946;90,8;4,5
Isole;Sardegna;NU;D947;1;0
Centro;Toscana;GR;D948;35;14,41
Nord Ovest;Lombardia;MN;D949;22;0
Nord Ovest;Lombardia;VA;D951;48,33;5,05
Nord Ovest;Lombardia;BG;D952;29,5;5,08
Nord Est;Veneto;PD;D956;24,5;0
Nord Est;Veneto;VR;D957;17,83;3
Nord Est;Emilia-Romagna;PC;D958;19,75;1
Nord Ovest;Lombardia;MN;D959;4;1
Isole;Sicilia;CL;D960;71,04;14,46
Nord Est;Emilia-Romagna;RN;D961;1;0,67
Nord Est;Friuli- Venezia Giulia;UD;D962;37,6;5
Nord Ovest;Lombardia;VA;D963;14;3
Centro;Lazio;RM;D964;5;10
Centro;Marche;AN;D965;1;3
Nord Ovest;Lombardia;CR;D966;3,22;0
Nord Ovest;Piemonte;CN;D967;11,44;0
Isole;Sardegna;NU;D968;0;0
Nord Ovest;Liguria;GE;D969;2477,83;866,36
Isole;Sardegna;CA;D970;0;0
Sud;Basilicata;PZ;D971;4,48;2,8
Centro;Lazio;RM;D972;81,84;16,85
Nord Ovest;Lombardia;CO;D974;10;1
Sud;Calabria;RC;D975;1;0,5
